exam_subject_id,program_year_id,year,subject_slot,subject_id,subject_name_raw,subject_name_std,score_max,exam_duration_minutes,exam_method,source_id,source_locator
EXAM-fb221091-a88a-5bb7-9e44-f02d435ca74f,PY-08a324b9-551b-5fed-b1f0-52e51932edf5,2024,public_1,SUBJ-c1afee7c-2c8b-5b96-8fd0-29904b52131b,高等数学,高等数学,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""数据科学与大数据技术"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-3fa9dda0-9b19-594e-941d-b7f5dc982c5f,PY-08a324b9-551b-5fed-b1f0-52e51932edf5,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""数据科学与大数据技术"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-711e4a93-a415-5885-a2e7-399a518e84e8,PY-b5d0d88d-6d2b-5d5c-b8fa-740cd91b914f,2024,professional_1,SUBJ-dedd1bdc-f56a-52b9-8be2-d3449d5338a1,无机化学,无机化学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""新能源材料与器件"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-0877aac8-044f-5862-a2e8-44c6e76a8402,PY-b5d0d88d-6d2b-5d5c-b8fa-740cd91b914f,2024,professional_2,SUBJ-4c8d96e4-aca9-5a2b-9627-a8413f8122de,大学物理,大学物理,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""新能源材料与器件"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-b8fecc10-24f0-5a6d-9278-abf16cc178fa,PY-b5d0d88d-6d2b-5d5c-b8fa-740cd91b914f,2024,public_1,SUBJ-c1afee7c-2c8b-5b96-8fd0-29904b52131b,高等数学,高等数学,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""新能源材料与器件"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-016f6dbe-3df8-524a-9420-7feacea77722,PY-b5d0d88d-6d2b-5d5c-b8fa-740cd91b914f,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""新能源材料与器件"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-553e2f58-8cb6-5891-b7ba-f494b3e91fef,PY-a33a19d4-d78c-5342-be85-65c5a9660b96,2024,professional_1,SUBJ-88d1b877-d7e1-5b43-8383-45ccafde7590,人物速写,人物速写,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""服装与服饰设计"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-72968d53-78a7-5b38-a282-c0a94b508ae3,PY-a33a19d4-d78c-5342-be85-65c5a9660b96,2024,professional_2,SUBJ-01918fe9-ba7a-5bb6-81c1-08ef3a02dec6,插画设计,插画设计,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""服装与服饰设计"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-cbd9d293-ace9-56a9-8260-fe82ec5cef2f,PY-a33a19d4-d78c-5342-be85-65c5a9660b96,2024,public_1,SUBJ-d88b6f0d-ab2d-511e-bbc2-2ff6a8d9b607,大学语文,大学语文,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""服装与服饰设计"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-3c4601ab-064d-520d-92a3-8b9df96f7d9f,PY-a33a19d4-d78c-5342-be85-65c5a9660b96,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""服装与服饰设计"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
