enrollment_plan_id,offering_id,plan_type,plan_value,value_status,plan_version,announcement_date,is_derived,derivation_method,raw_value,source_id,source_locator
PLAN-0a189379-b150-59f4-b601-173f07e79941,OFF-0cea55c4-0162-5c49-adf4-b170df56aca6,retired_soldier_culture_exam_exempt,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-55635815-72bd-5496-ac22-fb6af9a650a0,OFF-0cea55c4-0162-5c49-adf4-b170df56aca6,retired_soldier_non_exempt,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-fbff8970-a811-580e-ae50-f7c896c40263,OFF-0cea55c4-0162-5c49-adf4-b170df56aca6,registered_poor_family,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-08e514ed-b83b-5921-af41-7672d22255ca,OFF-6c67965e-693a-58dd-adb0-9dcb7b179291,total,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-605148cb-7a6e-583a-a431-a9ec6e0d5fa7,OFF-6c67965e-693a-58dd-adb0-9dcb7b179291,retired_soldier_culture_exam_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-12880e05-036c-50f4-8f1c-3a9c05dabd25,OFF-6c67965e-693a-58dd-adb0-9dcb7b179291,retired_soldier_non_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-9413b666-91f1-5c2e-9e77-a8a75ffed4a9,OFF-6c67965e-693a-58dd-adb0-9dcb7b179291,registered_poor_family,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-b10b2876-ab54-5282-a0bb-066f6a340674,OFF-3c999571-6cbc-5ffa-94cc-bedff9a6b1c8,total,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-f05cb754-aaae-506c-9d85-52dbea45bdc8,OFF-3c999571-6cbc-5ffa-94cc-bedff9a6b1c8,retired_soldier_culture_exam_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-436ae8a0-f16f-517b-ad08-9991d728d388,OFF-3c999571-6cbc-5ffa-94cc-bedff9a6b1c8,retired_soldier_non_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
