reference_book_id,program_year_id,subject_id,book_name,author,publisher,edition,isbn,source_id,source_locator
BOOK-aa4bae5e-fbb1-5797-b92f-789e5a12b7cd,PY-3285d496-881a-55ab-ac23-820876127fe9,SUBJ-26a1c76a-73cb-50b2-a6ad-138251b69ad9,运动解剖生理学,封飞虎主编,华中科技大学出版社,第一版,9787568037723,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":26,""row_key"":""运动康复|运动解剖生理学|运动解剖生理学"",""section"":""参考书目""}"
BOOK-fb27ded4-44c4-5788-a495-03119313b681,PY-0bb78dd6-a3a6-51e2-8fd2-2b066b79e9a9,SUBJ-26a1c76a-73cb-50b2-a6ad-138251b69ad9,运动解剖生理学,封飞虎主编,华中科技大学出版社,第一版,9787568037723,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":26,""row_key"":""运动康复|运动解剖生理学|运动解剖生理学"",""section"":""参考书目""}"
BOOK-11b6a7f3-2424-5081-a26c-bd4c2a00ac1d,PY-3285d496-881a-55ab-ac23-820876127fe9,SUBJ-c1677517-0a7c-54f6-98e2-02b71ae0359b,康复功能评定学,王玉龙主编,人民卫生出版社,第三版,9787117271509,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":26,""row_key"":""运动康复|康复功能评定学|康复功能评定学"",""section"":""参考书目""}"
BOOK-620abc81-dadc-5b20-9c20-17d489d6d5ea,PY-0bb78dd6-a3a6-51e2-8fd2-2b066b79e9a9,SUBJ-c1677517-0a7c-54f6-98e2-02b71ae0359b,康复功能评定学,王玉龙主编,人民卫生出版社,第三版,9787117271509,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":26,""row_key"":""运动康复|康复功能评定学|康复功能评定学"",""section"":""参考书目""}"
BOOK-b5238fac-559f-53f1-9618-51c94bd50ae3,PY-affbb6ae-8b72-59de-9a6f-ca8898ee35cf,SUBJ-c1677517-0a7c-54f6-98e2-02b71ae0359b,康复功能评定学,王玉龙,人民卫生出版社,第二版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":27,""row_key"":""运动康复|康复功能评定学|康复功能评定学"",""section"":""参考书目""}"
BOOK-21d1b627-b463-5e7c-947d-3af7c8d23f2e,PY-7c2fe360-dbc0-50a0-83e7-8c346215e406,SUBJ-0210da2c-c125-5f19-9416-37fce69429c7,数字电子技术基础,"阎石,王红编著",高等教育出版社,第六版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":38,""row_key"":""通信工程|数字电子技术基础|数字电子技术基础"",""section"":""参考书目""}"
BOOK-c4b31d81-67fb-5f2d-823f-0af003afaa6c,PY-ed1c505d-c15f-5eb8-ac3e-fd6c0180066b,SUBJ-0210da2c-c125-5f19-9416-37fce69429c7,数字电子技术基础,"阎石,王红编著",高等教育出版社,第六版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":39,""row_key"":""通信工程|数字电子技术基础|数字电子技术基础"",""section"":""参考书目""}"
BOOK-ebe422af-1250-5c74-8ade-7258d66479ac,PY-463cbd2c-1087-553b-969f-9f38cad0f7f3,SUBJ-0210da2c-c125-5f19-9416-37fce69429c7,数字电子技术基础,阎石 王红编著,高等教育出版社,第六版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":48,""row_key"":""通信工程|数字电子技术基础|数字电子技术基础"",""section"":""参考书目""}"
BOOK-85e8fdb9-498d-5e51-9cda-a8d6a210c83b,PY-463cbd2c-1087-553b-969f-9f38cad0f7f3,SUBJ-17c29bcb-031b-5886-9ae6-dbda71e015ef,电路,邱关源,高等教育出版社,第五版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":48,""row_key"":""通信工程|电路分析基础|电路"",""section"":""参考书目""}"
BOOK-bbb3fcc2-a8e8-56be-80b3-0f0dd5eee18c,PY-7c2fe360-dbc0-50a0-83e7-8c346215e406,SUBJ-17c29bcb-031b-5886-9ae6-dbda71e015ef,电路,邱关源,高等教育出版社,第五版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":38,""row_key"":""通信工程|电路分析基础|电路"",""section"":""参考书目""}"
