record_id,year,school_id,major_name_raw,major_name_std,major_code,major_category,discipline,plan_total,training_location,campus,joint_training,joint_training_school,study_years,tuition_raw,tuition_value,remarks_raw,source_id,source_url,source_page
HFNU-2025-023,2025,HFNU,计算机科学与技术,计算机科学与技术,,理,,40,,锦绣校区,true,安徽工业经济职业技术学院,2,5390,5390,安徽工业经济职业技术学院联合培养,SRC-2025-ZC,,
HFNU-2025-024,2025,HFNU,网络工程,网络工程,,理,,80,,锦绣校区,true,合肥职业技术学院,2,4900,4900,合肥职业技术学院联合培养,SRC-2025-ZC,,
HFNU-2025-025,2025,HFNU,制药工程,制药工程,,理,,40,,锦绣校区,true,合肥职业技术学院,2,4900,4900,合肥职业技术学院联合培养,SRC-2025-ZC,,
HFNU-2025-026,2025,HFNU,运动康复,运动康复,,体育(文),,100,,锦绣校区,true,合肥职业技术学院,2,4900,4900,合肥职业技术学院联合培养,SRC-2025-ZC,,
HFNU-2025-027,2025,HFNU,小学教育,小学教育,,文,,70,,锦绣校区,true,淮北职业技术学院,2,5060,5060,"淮北职业技术学院联合培养, 师范",SRC-2025-ZC,,
HFNU-2025-028,2025,HFNU,电气工程及其自动化,电气工程及其自动化,,理,,40,,锦绣校区,true,淮北职业技术学院,2,5390,5390,淮北职业技术学院联合培养,SRC-2025-ZC,,
HFNU-2025-029,2025,HFNU,环境设计,环境设计,,艺术(文),,80,,锦绣校区,true,马鞍山师范高等专科学校,2,8000,8000,马鞍山师范高等专科学校联合培养,SRC-2025-ZC,,
HFNU-2025-030,2025,HFNU,计算机科学与技术,计算机科学与技术,,理,,70,,锦绣校区,true,马鞍山师范高等专科学校,2,5390,5390,马鞍山师范高等专科学校联合培养,SRC-2025-ZC,,
HFNU-2025-031,2025,HFNU,食品质量与安全,食品质量与安全,,理,,70,,锦绣校区,true,马鞍山师范高等专科学校,2,4900,4900,马鞍山师范高等专科学校联合培养,SRC-2025-ZC,,
HFNU-2026-001,2026,HFNU,商务英语,商务英语,,文,,110,,锦绣校区,false,,2,4600,4600,校本部,SRC-2026-ZC,,
HFNU-2026-002,2026,HFNU,电子信息工程,电子信息工程,,理,,100,,锦绣校区,false,,2,5390,5390,校本部,SRC-2026-ZC,,
HFNU-2026-003,2026,HFNU,药物制剂,药物制剂,,理,,120,,锦绣校区,false,,2,5200,5200,校本部,SRC-2026-ZC,,
HFNU-2026-004,2026,HFNU,人力资源管理,人力资源管理,,文,,100,,锦绣校区,false,,2,4600,4600,校本部,SRC-2026-ZC,,
HFNU-2026-005,2026,HFNU,市场营销,市场营销,,文,,100,,锦绣校区,false,,2,4600,4600,校本部,SRC-2026-ZC,,
HFNU-2026-006,2026,HFNU,网络与新媒体,网络与新媒体,,文,,100,,锦绣校区,false,,2,5060,5060,校本部,SRC-2026-ZC,,
HFNU-2026-007,2026,HFNU,通信工程,通信工程,,理,,100,,锦绣校区,false,,2,4900,4900,校本部,SRC-2026-ZC,,
HFNU-2026-008,2026,HFNU,化学工程与工艺,化学工程与工艺,,理,,100,,锦绣校区,false,,2,4900,4900,校本部,SRC-2026-ZC,,
HFNU-2026-009,2026,HFNU,软件工程,软件工程,,理,,100,,锦绣校区,false,,2,4900,4900,校本部,SRC-2026-ZC,,
HFNU-2026-010,2026,HFNU,互联网金融,互联网金融,,文,,60,,锦绣校区,false,,2,4600,4600,校本部,SRC-2026-ZC,,
HFNU-2026-011,2026,HFNU,学前教育,学前教育,,文,,50,,锦绣校区,false,,2,4600,4600,"校本部, 师范",SRC-2026-ZC,,
HFNU-2026-012,2026,HFNU,生物制药,生物制药,,理,,100,,锦绣校区,false,,2,4900,4900,校本部,SRC-2026-ZC,,
HFNU-2026-013,2026,HFNU,经济统计学,经济统计学,,理,,100,,锦绣校区,false,,2,4600,4600,校本部,SRC-2026-ZC,,
HFNU-2026-014,2026,HFNU,新能源材料与器件,新能源材料与器件,,理,,80,,锦绣校区,false,,2,4900,4900,校本部,SRC-2026-ZC,,
HFNU-2026-015,2026,HFNU,音乐学,音乐学,,艺术(文),,30,,锦绣校区,false,,2,8000,8000,"校本部, 师范",SRC-2026-ZC,,
HFNU-2026-016,2026,HFNU,视觉传达设计,视觉传达设计,,艺术(文),,60,,锦绣校区,false,,2,8000,8000,校本部,SRC-2026-ZC,,
HFNU-2026-017,2026,HFNU,服装与服饰设计,服装与服饰设计,,艺术(文),,30,,锦绣校区,false,,2,8000,8000,校本部,SRC-2026-ZC,,
HFNU-2026-018,2026,HFNU,动画,动画,,艺术(文),,50,,锦绣校区,false,,2,8000,8000,校本部,SRC-2026-ZC,,
HFNU-2026-019,2026,HFNU,运动康复,运动康复,,体育(文),,50,,锦绣校区,false,,2,4900,4900,校本部,SRC-2026-ZC,,
HFNU-2026-020,2026,HFNU,财务管理,财务管理,,文,,50,,锦绣校区,true,安徽工业经济职业技术学院,2,5060,5060,安徽工业经济职业技术学院联合培养,SRC-2026-ZC,,
HFNU-2026-021,2026,HFNU,电气工程及其自动化,电气工程及其自动化,,理,,50,,锦绣校区,true,安徽工业经济职业技术学院,2,5390,5390,安徽工业经济职业技术学院联合培养,SRC-2026-ZC,,
HFNU-2026-022,2026,HFNU,网络工程,网络工程,,理,,50,,锦绣校区,true,安徽工业经济职业技术学院,2,4900,4900,安徽工业经济职业技术学院联合培养,SRC-2026-ZC,,
HFNU-2026-023,2026,HFNU,计算机科学与技术,计算机科学与技术,,理,,50,,锦绣校区,true,安徽工业经济职业技术学院,2,5390,5390,安徽工业经济职业技术学院联合培养,SRC-2026-ZC,,
HFNU-2026-024,2026,HFNU,小学教育,小学教育,,文,,60,,锦绣校区,true,淮北职业技术学院,2,5060,5060,"淮北职业技术学院联合培养, 师范",SRC-2026-ZC,,
HFNU-2026-025,2026,HFNU,电气工程及其自动化,电气工程及其自动化,,理,,50,,锦绣校区,true,淮北职业技术学院,2,5390,5390,淮北职业技术学院联合培养,SRC-2026-ZC,,
HFNU-2026-026,2026,HFNU,环境设计,环境设计,,艺术(文),,50,,锦绣校区,true,马鞍山师范高等专科学校,2,8000,8000,马鞍山师范高等专科学校联合培养,SRC-2026-ZC,,
HFNU-2026-027,2026,HFNU,计算机科学与技术,计算机科学与技术,,理,,50,,锦绣校区,true,马鞍山师范高等专科学校,2,5390,5390,马鞍山师范高等专科学校联合培养,SRC-2026-ZC,,
HFNU-2026-028,2026,HFNU,食品质量与安全,食品质量与安全,,理,,50,,锦绣校区,true,马鞍山师范高等专科学校,2,4900,4900,马鞍山师范高等专科学校联合培养,SRC-2026-ZC,,
