eligibility_rule_item_id,eligibility_rule_set_id,ordinal,scope_type,include_or_exclude,category_code,category_name_raw,major_code,major_name_raw,condition_raw
ELIGITEM-0c22aa5e-99ba-56b3-b22e-cef6e0320bca,ELIGSET-48424ebc-9ac1-54da-9504-4623712bbcc0,2,major_category,include,,教育与体育大类,,,限于美术教育、艺术教育2个专业
ELIGITEM-9723bb44-c281-535d-988b-89703ef9bd09,ELIGSET-48424ebc-9ac1-54da-9504-4623712bbcc0,3,major_category,include,,电子与信息大类,,,限于数字媒体技术、动漫制作技术、动漫设计与制作3个专业
ELIGITEM-973c5969-7579-57a6-9e05-f872cccf229f,ELIGSET-484747fb-5666-5241-b0d9-31717b126a91,1,major_category,include,,食品药品与粮食大类,,,
ELIGITEM-092e1f98-875d-5f50-9683-eb1bcc44c9d3,ELIGSET-484747fb-5666-5241-b0d9-31717b126a91,2,major_category,include,,生物与化工大类,,,
ELIGITEM-d84c9958-891b-58bd-b51a-2c5c3e836405,ELIGSET-484747fb-5666-5241-b0d9-31717b126a91,3,major_category,include,,医药卫生大类,,,
ELIGITEM-ec4affe0-8f2a-51a6-a427-89bc5dae35f3,ELIGSET-4c53afd7-2ac7-59f1-bfc1-55f74d2fa03d,1,major_category,include,,财经商贸大类,,,
ELIGITEM-1f187388-5f2c-5f07-86c5-2c85ff7795c1,ELIGSET-4c53afd7-2ac7-59f1-bfc1-55f74d2fa03d,2,major_category,include,,电子与信息大类,,,
ELIGITEM-a2f2e65b-c13f-52c7-8b88-c1a6f7630412,ELIGSET-4c53afd7-2ac7-59f1-bfc1-55f74d2fa03d,3,major_category,include,,旅游大类,,,
ELIGITEM-113e5455-30f5-5f4a-a700-638f7cf447ef,ELIGSET-4c53afd7-2ac7-59f1-bfc1-55f74d2fa03d,4,major_category,include,,公共管理与服务大类,,,
ELIGITEM-584e91e1-9ad9-5461-a23d-c0ea2ea9163e,ELIGSET-4eedd813-6d62-5786-9b91-18d754be67e4,1,major_category,include,,食品药品与粮食大类,,,
ELIGITEM-0b5b8aaa-ff1e-5d20-9b55-c6d9161d8e2d,ELIGSET-4eedd813-6d62-5786-9b91-18d754be67e4,2,major_category,include,,生物与化工大类,,,
ELIGITEM-6ebeb48d-11e1-5f82-8a8e-228a9c0f6990,ELIGSET-4eedd813-6d62-5786-9b91-18d754be67e4,3,major_category,include,,医药卫生大类,,,
ELIGITEM-fc6b1b28-377e-52da-b2f3-72293dad381a,ELIGSET-4eedd813-6d62-5786-9b91-18d754be67e4,4,major_category,include,,资源环境与安全大类,,,
ELIGITEM-b2d01665-b6c7-5c43-b7ac-d5114351839c,ELIGSET-4eedd813-6d62-5786-9b91-18d754be67e4,5,major_category,include,,电子与信息大类,,,
